TipoCredor,ClassificacaoCredor,NacionalOuInternacional,DepositoJudicialCredor,DividaTotalCredor,DividaAdiantadaCredor,PrimeiraParcelaAdiantamentoCredor,SegundaParcelaAdiantamentoCredor,RestantePagoConformePlanoCredor,ModoPagamento,PrecisaAdvogado,TipoProcesso,KitProcesso,ParticipouMediacao,Resultado
2.00,1.00,1.00,0.00,5812.00,5812.00,5231.00,581.00,0.00,2.00,1.00,3.00,19.00,0.00,1
2.00,1.00,1.00,0.00,60766.00,50000.00,45000.00,5000.00,10766.00,2.00,1.00,3.00,6.00,0.00,1
2.00,1.00,1.00,0.00,60766.00,50000.00,45000.00,5000.00,10766.00,2.00,1.00,3.00,6.00,0.00,1
2.00,1.00,1.00,0.00,5000.00,5000.00,4500.00,500.00,0.00,2.00,1.00,2.00,6.00,0.00,1
2.00,1.00,1.00,0.00,10409.00,10409.00,9368.00,1041.00,0.00,2.00,1.00,3.00,19.00,0.00,1
2.00,1.00,1.00,0.00,1086.00,1086.00,978.00,109.00,0.00,2.00,1.00,3.00,19.00,0.00,1
2.00,1.00,1.00,0.00,979.00,979.00,881.00,98.00,0.00,2.00,1.00,3.00,19.00,0.00,0
2.00,1.00,1.00,0.00,5000.00,5000.00,4500.00,500.00,0.00,2.00,1.00,2.00,19.00,0.00,1
2.00,1.00,1.00,0.00,9522.00,9522.00,8570.00,952.00,0.00,2.00,1.00,3.00,19.00,0.00,1
2.00,1.00,1.00,0.00,5853.00,5853.00,5268.00,585.00,0.00,2.00,1.00,3.00,19.00,0.00,1
2.00,1.00,1.00,0.00,9048.00,9048.00,8144.00,905.00,0.00,2.00,0.00,3.00,8.00,0.00,1
2.00,1.00,1.00,0.00,4517.00,4517.00,4065.00,452.00,0.00,2.00,1.00,3.00,19.00,0.00,1
2.00,1.00,1.00,0.00,5935.00,5935.00,5342.00,594.00,0.00,2.00,1.00,2.00,19.00,0.00,1
2.00,1.00,1.00,0.00,2229.00,2229.00,2006.00,223.00,0.00,2.00,1.00,3.00,4.00,1.00,0
2.00,1.00,1.00,0.00,5052.00,5052.00,4547.00,505.00,0.00,2.00,0.00,3.00,17.00,0.00,1
2.00,1.00,1.00,0.00,11442.00,11442.00,10298.00,1144.00,0.00,2.00,1.00,3.00,6.00,0.00,1
2.00,1.00,1.00,0.00,5400.00,5400.00,4860.00,540.00,0.00,2.00,1.00,2.00,6.00,0.00,1
2.00,1.00,1.00,0.00,3908.00,3908.00,3517.00,391.00,0.00,2.00,0.00,3.00,4.00,0.00,1
2.00,1.00,1.00,0.00,1826.00,1826.00,1643.00,183.00,0.00,2.00,1.00,3.00,6.00,0.00,1
2.00,1.00,1.00,0.00,4101.00,4101.00,3691.00,410.00,0.00,2.00,0.00,3.00,21.00,0.00,1
2.00,1.00,1.00,0.00,271.00,271.00,244.00,27.00,0.00,2.00,1.00,3.00,6.00,0.00,0
2.00,1.00,1.00,0.00,1600.00,1600.00,1440.00,160.00,0.00,2.00,0.00,2.00,18.00,0.00,1
2.00,1.00,1.00,0.00,16479.00,16479.00,14832.00,1648.00,0.00,2.00,1.00,3.00,6.00,0.00,1
2.00,1.00,1.00,0.00,4766.00,4766.00,4289.00,477.00,0.00,2.00,1.00,3.00,4.00,1.00,0
2.00,1.00,1.00,0.00,4766.00,4766.00,4289.00,477.00,0.00,2.00,1.00,3.00,4.00,1.00,0
2.00,1.00,1.00,0.00,4500.00,4500.00,4050.00,450.00,0.00,2.00,1.00,3.00,6.00,0.00,1
2.00,1.00,1.00,0.00,8999.00,8999.00,8099.00,900.00,0.00,2.00,1.00,3.00,19.00,0.00,1
2.00,1.00,1.00,0.00,3344.00,3344.00,3010.00,334.00,0.00,2.00,1.00,2.00,19.00,0.00,1
2.00,1.00,1.00,0.00,920.00,920.00,828.00,92.00,0.00,2.00,1.00,3.00,6.00,0.00,1
2.00,1.00,1.00,0.00,3003.00,3003.00,2703.00,300.00,0.00,2.00,1.00,2.00,19.00,0.00,1
2.00,1.00,1.00,0.00,801.00,801.00,720.00,80.00,0.00,2.00,1.00,3.00,6.00,0.00,1
2.00,1.00,1.00,0.00,3081.00,3081.00,2773.00,308.00,0.00,2.00,1.00,2.00,4.00,0.00,1
2.00,1.00,1.00,0.00,6086.00,6086.00,5477.00,609.00,0.00,2.00,1.00,3.00,19.00,0.00,1
2.00,1.00,1.00,0.00,5076.00,5076.00,4568.00,508.00,0.00,2.00,0.00,3.00,17.00,0.00,0
2.00,1.00,1.00,0.00,6956.00,6956.00,6261.00,696.00,0.00,2.00,1.00,3.00,19.00,0.00,1
2.00,1.00,1.00,0.00,2085.00,2085.00,1877.00,209.00,0.00,2.00,0.00,3.00,17.00,0.00,1
2.00,1.00,1.00,0.00,2068.00,2068.00,1861.00,207.00,0.00,2.00,1.00,2.00,6.00,0.00,1
2.00,1.00,1.00,0.00,606.00,606.00,545.00,61.00,0.00,2.00,0.00,2.00,21.00,0.00,1
